model_id,task,metric,value,checkpoint_step,split
political,political,accuracy,0.6897506925207756,1,val
political,political,f1,0.653,1,val
political,political,calibration_error,0.6039,1,val
political,political,accuracy,0.699792243767313,2,val
political,political,f1,0.6563,2,val
political,political,calibration_error,0.5921,2,val
political,political,accuracy,0.7126038781163435,3,val
political,political,f1,0.6811,3,val
political,political,calibration_error,0.5829,3,val
political,political,accuracy,0.7174515235457064,4,val
political,political,f1,0.6888,4,val
political,political,calibration_error,0.5522,4,val
political,political,accuracy,0.7299168975069252,5,val
political,political,f1,0.7004,5,val
political,political,calibration_error,0.5626,5,val
political,political,accuracy,0.7347645429362881,6,val
political,political,f1,0.715,6,val
political,political,calibration_error,0.5726,6,val
political,political,accuracy,0.728185595567867,7,val
political,political,f1,0.7168,7,val
political,political,calibration_error,0.5815,7,val
political,political,accuracy,0.7278393351800554,8,val
political,political,f1,0.7174,8,val
political,political,calibration_error,0.6129,8,val
political,political,accuracy,0.7268005540166205,9,val
political,political,f1,0.7155,9,val
political,political,calibration_error,0.6104,9,val
political,political,accuracy,0.7316481994459834,10,val
political,political,f1,0.7152,10,val
political,political,calibration_error,0.6021,10,val
political,political,accuracy,0.7333795013850416,11,val
political,political,f1,0.7198,11,val
political,political,calibration_error,0.6139,11,val
political,political,accuracy,0.7295706371191135,12,val
political,political,f1,0.7058,12,val
political,political,calibration_error,0.6597,12,val
political,political,accuracy,0.7354570637119113,13,val
political,political,f1,0.7211,13,val
political,political,calibration_error,0.6528,13,val
political,political,accuracy,0.7288781163434903,14,val
political,political,f1,0.7095,14,val
political,political,calibration_error,0.6714,14,val
political,political,accuracy,0.7268005540166205,15,val
political,political,f1,0.7115,15,val
political,political,calibration_error,0.6922,15,val
political,political,accuracy,0.7346233586731168,15,test
political,political,f1,0.7191,15,test
political,political,calibration_error,0.6486,15,test
emotion,emotion,f1,0.7060918435046218,3196,val
emotion,emotion,accuracy,0.7791298223648173,3196,val
emotion,emotion,calibration_error,0.0314400756923646,3196,val
emotion,emotion,f1,0.7996026469233125,6392,val
